Patient_ID,Path,Tumor_Label,Set
Image_032_N,half_crop/Normal/Image_032_Normal_0000000.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000001.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000002.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000003.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000004.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000005.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000006.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000007.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000008.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000009.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000010.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000011.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000012.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000013.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000014.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000015.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000016.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000017.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000018.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000019.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000020.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000021.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000022.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000023.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000024.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000025.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000026.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000027.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000028.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000029.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000030.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000031.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000032.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000033.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000034.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000035.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000036.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000037.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000038.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000039.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000040.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000041.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000042.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000043.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000044.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000045.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000046.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000047.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000048.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000049.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000050.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000051.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000052.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000053.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000054.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000055.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000056.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000057.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000058.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000059.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000060.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000061.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000062.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000063.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000064.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000065.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000066.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000067.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000068.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000069.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000070.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000071.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000072.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000073.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000074.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000075.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000076.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000077.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000078.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000079.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000080.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000081.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000082.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000083.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000084.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000085.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000086.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000087.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000088.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000089.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000090.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000091.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000092.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000093.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000094.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000095.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000096.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000097.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000098.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000099.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000100.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000101.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000102.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000103.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000104.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000105.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000106.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000107.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000108.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000109.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000110.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000111.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000112.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000113.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000114.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000115.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000116.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000117.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000118.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000119.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000120.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000121.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000122.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000123.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000124.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000125.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000126.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000127.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000128.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000129.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000130.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000131.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000132.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000133.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000134.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000135.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000136.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000137.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000138.jpg,Normal,TRAIN
Image_032_N,half_crop/Normal/Image_032_Normal_0000139.jpg,Normal,TRAIN
